bodyId,out_degree,in_degree,total_output_weight,total_input_weight,predictedNt,type
10011,8863,4422,21628,13300,octopamine,OA-AL2i1
10043,118,65,1868,1101,gaba,ER5
10072,10745,4942,28333,15183,octopamine,OA-AL2i1
10090,1448,1363,11933,9747,acetylcholine,aSP22
10099,543,580,9254,9845,glutamate,ExR6
10150,404,171,584,764,serotonin,AN27X013
10185,5873,2423,32411,12234,octopamine,OA-VUMa8
10187,6030,2667,17210,10402,octopamine,OA-VPM3
10230,1093,1339,8203,10153,acetylcholine,SIP136m
10239,844,1110,12959,9753,gaba,AOTU042
10273,1117,1328,7328,10232,acetylcholine,SIP136m
10285,837,953,8836,21950,acetylcholine,CRE011
10299,2959,2199,22130,14319,gaba,AstA1
10324,462,697,6883,13703,acetylcholine,ExR1
10342,1992,850,3575,1696,unclear,DNc02
10396,391,277,2385,988,glutamate,FB2F_a
10416,568,914,4230,10034,acetylcholine,DNde002
10442,656,765,6244,12467,acetylcholine,DNa01
10449,700,1067,6731,8056,acetylcholine,DNpe025
10453,673,392,8327,4222,glutamate,FB6A_a
10487,295,1006,4682,7432,acetylcholine,CL311
10504,1265,992,1938,4165,unclear,DNp62
10513,187,122,2307,1133,glutamate,Delta7
10514,644,371,6923,4724,glutamate,FB6A_c
10537,80,500,6050,9475,glutamate,LNO2
10539,260,372,2687,4842,acetylcholine,EPG
10547,202,352,775,1513,glutamate,SIP119m
10568,421,526,1132,2513,dopamine,FB4L
10624,796,650,6686,3068,glutamate,ExR5
10635,897,964,7099,8550,gaba,CRE021
10638,1430,983,10029,8844,acetylcholine,GNG667
10675,633,2889,5631,9118,acetylcholine,LT66
10705,2176,890,3485,1513,unclear,DNc02
10712,1205,933,7254,7582,glutamate,DNp36
10744,766,787,6210,5411,gaba,FB5A
10804,1126,1172,6731,5906,gaba,MBON20
10817,114,61,860,703,acetylcholine,PFNv
10916,931,1059,7597,9739,gaba,CRE021
10963,405,1151,3609,9112,gaba,SMP543
10969,298,478,6905,10406,glutamate,ExR4
11017,1524,1635,9954,9051,gaba,PVLP093
11023,538,615,3431,3029,glutamate,GNG304
11053,563,297,6962,6497,acetylcholine,LPsP
11083,451,273,3014,1220,glutamate,FB6C_b
11116,572,946,7557,10731,acetylcholine,pIP10
11121,218,357,1655,1838,acetylcholine,DNp52
11145,1189,1250,7107,6141,gaba,MBON20
11176,634,1000,6245,9944,acetylcholine,MBON26
11178,336,728,2891,5663,acetylcholine,SIP091
11184,208,124,2403,1480,glutamate,Delta7
11197,454,315,3649,1639,glutamate,FB6I
11213,359,434,4457,3652,acetylcholine,CB0244
11255,835,743,2056,3151,dopamine,FB1C
11258,628,760,4399,4849,acetylcholine,DNd05
11278,451,954,5185,10316,glutamate,PVLP016
11280,274,272,3670,2744,gaba,LAL205
11307,301,365,2661,4249,acetylcholine,EPG
11311,648,932,6181,5919,gaba,CL248
11326,836,668,7439,3167,glutamate,ExR5
11340,399,279,4590,1743,acetylcholine,ExR7
11343,764,599,4717,2890,acetylcholine,SMP586
11369,1946,952,3110,1878,unclear,DNc01
11423,709,811,6247,5753,gaba,CRE100
11433,527,680,6652,12965,acetylcholine,ExR1
11490,346,572,5011,9038,glutamate,LAL073
11497,123,510,6252,9464,glutamate,LNO2
11499,724,797,4490,3980,acetylcholine,AVLP314
11503,254,337,2338,4046,acetylcholine,EPG
11512,203,191,3040,2969,acetylcholine,hDeltaB
11516,234,494,7997,8967,glutamate,LCNOpm
11527,742,874,4969,4691,acetylcholine,DNg101
11543,601,783,3747,6778,acetylcholine,CL111
11555,330,493,1566,1725,acetylcholine,PVLP203m
11557,146,347,909,2426,acetylcholine,PFL2
11605,99,57,1809,1094,gaba,ER5
11618,1183,1381,3367,9965,dopamine,PPL102
11673,181,323,1348,2684,acetylcholine,PFL2
11745,139,168,1426,1325,acetylcholine,PFL1
11786,126,172,928,1119,acetylcholine,PFL1
11791,240,498,867,2931,glutamate,SIP104m
11819,783,342,1503,1475,serotonin,ATL042
11841,504,529,1907,2257,acetylcholine,CB1301
11859,602,637,5905,4596,acetylcholine,DNpe050
11874,305,377,2537,4433,acetylcholine,EPG
11886,445,698,7280,13739,acetylcholine,ExR1
11933,165,179,2447,1905,gaba,ER2_c
11954,771,675,3844,4146,acetylcholine,AVLP751m
11987,288,337,2526,4121,acetylcholine,EPG
11989,287,378,2497,4489,acetylcholine,EPG
11994,463,353,3300,1717,glutamate,FB5L
12059,118,57,1984,1231,gaba,ER5
12074,626,689,5732,8270,glutamate,SIP133m
12083,279,517,4607,5249,glutamate,FB4B
12104,60,174,4416,2407,unclear,GLNO
12106,1021,897,8157,3419,acetylcholine,FB1G
12177,533,596,5729,4403,acetylcholine,DNpe050
12220,521,531,2276,2106,acetylcholine,ICL002m
12221,823,866,6307,5900,gaba,FB5A
12248,606,345,6982,3896,glutamate,FB6A_a
12261,598,590,3491,6598,gaba,SMP285
12285,153,182,1103,1200,acetylcholine,SMP597
12311,519,539,2128,2087,glutamate,FB5D
12325,451,411,3743,2531,acetylcholine,DNp67
12333,748,725,3763,4892,dopamine,FB4M
12357,165,169,2578,1788,gaba,ER2_c
12358,152,154,2147,2465,acetylcholine,PEN_a(PEN1)
12359,203,482,6969,8248,glutamate,LCNOpm
12389,446,351,3992,1507,acetylcholine,DNp60
12390,613,1057,4804,8967,acetylcholine,AVLP562
12398,533,218,782,987,serotonin,AN27X013
12400,13,273,21,1410,unclear,IPC
12449,295,361,2315,4047,acetylcholine,EPG
12499,364,681,4332,4442,acetylcholine,CL310
12506,612,665,9702,10363,glutamate,ExR6
12529,550,568,3157,3068,glutamate,GNG304
12569,2414,2401,21808,46963,dopamine,DPM
